HOUR,TOTALLOAD,WIND,SOLAR
585,16.32303677,0.849999998,0
586,16.43707603,0.849999998,0
587,16.56433549,0.844322413,0
588,16.70725793,0.835808259,2.33E-08
589,16.83863047,0.824071654,0.065067237
590,16.96414601,0.809694611,0.218386309
591,17.12898979,0.791838412,0.391470183
592,17.33353239,0.770137542,0.59581631
593,17.55978058,0.745325126,0.694110681
594,17.81904063,0.717059477,0.717351437
595,18.07790177,0.685093116,0.589294527
596,18.33433903,0.649394695,0.479874547
597,18.61440228,0.609724945,0.28852758
598,18.91075849,0.565956165,0.130565127
599,19.18215827,0.535816399,4.04E-08
600,19.42739345,0.520988975,0
601,19.66066245,0.513002731,0
602,19.87082018,0.516916791,0
603,20.08798147,0.522401225,0
604,20.31282012,0.528977422,0
605,20.52032119,0.546366883,0
606,20.71623579,0.572630032,0
607,20.92115769,0.595072125,0
608,21.13349509,0.613987421,0
609,21.34679322,0.634373566,0
610,21.56552577,0.653259717,0
611,21.77020324,0.680909227,0
612,21.95948576,0.718100703,1.61E-08
613,22.14637965,0.757406531,0.029392053
614,22.3261939,0.801250868,0.052446449
615,22.47876935,0.829829435,0.104465329
616,22.60294523,0.840436944,0.13670316
617,22.70437131,0.844196458,0.148080803
618,22.77709193,0.835261723,0.136001922
619,22.83517716,0.823397953,0.116765553
620,22.87821123,0.809274177,0.085500494
621,22.89340385,0.782716779,0.040655166
622,22.88287736,0.745532656,0.010689488
623,22.8560909,0.714842406,2.78E-08
624,22.81161874,0.690613491,0
625,22.74558598,0.665600448,0
626,22.65953376,0.643928409,0
627,22.54321897,0.612661479,0
628,22.39531283,0.570785288,0
629,22.22154965,0.528025956,0
630,22.01895713,0.481364269,0
631,21.89864822,0.449512185,0
632,21.87191344,0.435357601,0
633,21.88398639,0.427888229,0
634,21.96672586,0.432731845,0
635,22.05676353,0.441311787,0
636,22.15089143,0.452996258,3.84E-08
637,22.30947182,0.477203929,0.032408516
638,22.52056406,0.512395049,0.077454169
639,22.70091993,0.541308889,0.163613795
640,22.8519587,0.563905698,0.240498426
641,23.00685224,0.587701982,0.293884281
642,23.14590444,0.608532227,0.304882004
643,23.33527149,0.639236622,0.27292827
644,23.57990739,0.680869418,0.201572087
645,23.83135699,0.723727739,0.106399739
646,24.10512453,0.77082721,0.034538299
647,24.29794651,0.806587582,4.95E-07
648,24.39466126,0.828449619,0
649,24.45533375,0.845968476,0
650,24.44922283,0.849999998,0
651,24.42496436,0.849999998,0
652,24.38619674,0.849999998,0
653,24.28073847,0.849999998,0
654,24.11753325,0.84756417,0
655,23.98947249,0.841652525,0
656,23.89673668,0.84284741,0
657,23.79945877,0.844529945,0
658,23.72012744,0.849999998,0
659,23.58946236,0.849383802,0
660,23.40197465,0.840639821,1.04E-06
661,23.21012255,0.83260395,0.120580524
662,22.99776021,0.822713929,0.369702185
663,22.88181937,0.812456228,0.569264585
664,22.87960189,0.802854168,0.694983057
665,22.92438478,0.791312587,0.76278168
666,23.05125216,0.778447437,0.766070488
667,23.20484347,0.765284689,0.701774208
668,23.38153437,0.751599765,0.579596304
669,23.64106614,0.737442244,0.395425787
670,23.97359318,0.723005505,0.211605396
671,24.27448135,0.703858951,1.60E-06
672,24.54395,0.679660412,0
673,24.82739048,0.652666231,0
674,25.09977269,0.621678575,0
675,25.43997429,0.589204086,0
676,25.85459184,0.555435306,0
677,26.28463406,0.518087794,0
678,26.74878349,0.477684824,0
679,27.03300599,0.444598418,0
680,27.10966847,0.419562157,0
681,27.09306161,0.398039988,0
682,26.91996189,0.382919257,0
683,26.70037684,0.367645595,0
684,26.44038558,0.351951412,3.15E-06
685,26.02737001,0.341692411,0.139179954
686,25.48118002,0.335611489,0.29531659
687,24.97944922,0.327115325,0.418388646
688,24.52044649,0.316439885,0.481959934
689,24.02910135,0.306005777,0.470076951
690,23.54748051,0.294287932,0.392746962
691,22.93825916,0.286835648,0.241041083
692,22.19013971,0.284040728,0.114946404
693,21.40440628,0.281954585,0.042499378
694,20.54842394,0.281881977,0.00794323
695,19.89707157,0.283926333,4.00E-07
696,19.48794443,0.287751958,0
697,19.16746484,0.294316935,0
698,19.01693369,0.303617478,0
699,18.90019911,0.314756101,0
700,18.80823006,0.327891792,0
701,18.88282075,0.343511509,0
702,19.09893276,0.361503921,0
703,19.21811942,0.383300064,0
704,19.24094804,0.40912776,0
705,19.2685424,0.438289287,0
706,19.24354267,0.471239384,0
707,19.34640466,0.50742052,0
708,19.59140388,0.546849265,1.72E-06
709,19.84310094,0.590249283,0.020773736
710,20.14371844,0.637568912,0.066403665
711,20.37693698,0.675131479,0.137866328
712,20.51749859,0.701703681,0.218445263
713,20.65156227,0.723723811,0.280282776
714,20.74287831,0.737309277,0.302045269
715,20.82853713,0.750587005,0.305528422
716,20.91470811,0.763929867,0.239159785
717,20.95010266,0.769786127,0.154899474
718,20.94170527,0.769694051,0.057532328
719,21.02677087,0.773334443,4.14E-06
720,21.20929606,0.780478199,0
721,21.42704276,0.787363727,0
722,21.71473771,0.796261679,0
723,21.97878089,0.799318883,0
724,22.21205512,0.795955478,0
725,22.48991092,0.791859958,0
726,22.79136564,0.785186921,0
727,23.02226042,0.78295626,0
728,23.18176243,0.786408335,0
729,23.29920804,0.790848352,0
730,23.34974295,0.798386329,0
731,23.40538402,0.806220724,0
732,23.46756629,0.814005643,1.29E-05
733,23.47825491,0.825028864,0.172399145
734,23.45136912,0.838742096,0.376808042
735,23.42571632,0.847906114,0.545180446
736,23.39700319,0.849999998,0.635677114
737,23.35508083,0.849999998,0.691510231
738,23.30799088,0.849999998,0.694500193
739,23.2158496,0.849999998,0.618392776
740,23.07609147,0.849999998,0.488839207
741,22.91429958,0.849999998,0.316751184
742,22.72081718,0.849999998,0.146666036
743,22.54629009,0.849999998,6.74E-06
744,22.39748787,0.849999998,0
745,22.24284106,0.843389597,0
746,22.09673495,0.831687085,0
747,21.9350192,0.817514563,0
748,21.75486112,0.800947177,0
749,21.58078235,0.780932256,0
750,21.40757323,0.757492327,0
751,21.18934619,0.733920396,0
752,20.9251605,0.710276202,0
753,20.63343793,0.684912511,0
754,20.30241621,0.658619342,0
755,19.96471454,0.629110966,0
756,19.62211042,0.596142993,1.77E-05
757,19.24835767,0.561464395,0.056144653
758,18.85038479,0.524510466,0.147302148
759,18.53330242,0.495808705,0.272086959
760,18.30459483,0.476600409,0.340071356
761,18.11967974,0.461521064,0.380148918
762,18.00806374,0.45365591,0.368049181
763,17.90265296,0.447314271,0.260906327
764,17.80119836,0.442221103,0.148546848
765,17.76384038,0.444032595,0.070965785
766,17.77800834,0.451718429,0.019672567
767,17.77692763,0.456912643,2.21E-06
768,17.76333566,0.459741733,0
769,17.76213427,0.463684002,0
770,17.75812365,0.466773603,0
771,17.80824691,0.475592889,0
772,17.91681308,0.490680508,0
773,18.04388475,0.507230522,0
774,18.20309545,0.526812927,0
775,18.38218341,0.543546914,0
776,18.57664853,0.556398163,0
777,18.80296396,0.569331274,0
778,19.05744358,0.580585691,0
779,19.33906037,0.592536456,0
780,19.65002389,0.605489359,1.51E-06
781,19.98808347,0.616690388,0.006511537
782,20.35380973,0.626616243,0.03120042
783,20.77187265,0.64144915,0.06121853
